uen,registration_year,primary_ssic_code,postal_code
201916504H,2019,35,200809
201917359N,2019,68,458705
53385305B,2018,70,360083
201921706R,2019,73,079903
201812264M,2018,62,068892
201923029E,2019,47,762334
T19LP0019K,2019,41,520114
201719027R,2017,70,050531
201820242K,2018,74,338729
201712141R,2017,41,408652
53399594M,2019,74,763431
53376467W,2018,49,048545
201834797E,2018,46,640931
201917050M,2019,62,465458
201715900Z,2017,64,049413
201709276Z,2017,52,048619
53373850D,2017,53,199018
53389418B,2018,41,768089
53403311C,2019,49,670175
201718169G,2017,56,569841
201726649Z,2017,46,068914
201716090Z,2017,70,160053
201723390M,2017,96,279894
201928727G,2019,47,409051
53406920K,2019,81,310011
201817333Z,2018,50,188720
201916835C,2019,28,387429
53400779A,2019,47,600330
53392965B,2019,73,117651
201919619Z,2019,69,059413
201902573D,2019,47,560555
53387183B,2018,78,460557
201937969K,2019,70,238875
201842657E,2018,64,088443
53374907K,2017,93,471748
53401854L,2019,49,556124
201911425H,2019,47,209463
53390999J,2018,85,528687
53390049B,2018,81,238863
201929616E,2019,42,079903
201837239G,2018,64,059763
201941631C,2019,43,319076
201732255D,2017,96,533979
53397125W,2019,43,408538
201838061E,2018,46,048616
201703007N,2017,64,179433
201823774M,2018,56,209664
201735524G,2017,47,218089
201718559M,2017,47,218093
201731739W,2017,47,218089
53380587B,2018,46,609653
53369550C,2017,81,408727
53363801A,2017,52,600407
201806742E,2018,56,218309
201833959H,2018,46,573960
53358947M,2017,78,560512
53357138C,2017,49,409015
201716779N,2017,47,608586
201801178Z,2018,43,760653
53385840B,2018,47,409015
201841740N,2018,96,199001
T17LL0961A,2017,43,659248
53399059M,2019,46,736688
201722320G,2017,79,218089
53382837J,2018,18,658065
53366035A,2017,74,520381
201929658W,2019,64,018982
201921580D,2019,70,048616
201732687C,2017,70,650340
53385851L,2018,46,120417
201807759K,2018,95,569541
53404381W,2019,56,728664
201839589G,2018,46,068914
201921373N,2019,46,069533
201813272Z,2018,43,627607
53355938C,2017,49,560414
53382893K,2018,49,350120
53363306X,2017,52,520832
201930692N,2019,70,059818
53368375X,2017,52,828680
201711670Z,2017,49,640444
201843097E,2018,43,389729
T17LL2390A,2017,82,567760
201912869W,2019,41,380101
53361792L,2017,56,128467
201916774G,2019,46,737853
53388138B,2018,46,732782
201801593H,2018,46,418942
53390927M,2018,41,629668
201720398K,2017,43,319075
53353438X,2017,49,160113
201730665C,2017,46,636937
201809002C,2018,70,428766
53386861X,2018,42,640903
201826992N,2018,82,530942
201800880K,2018,79,408564
201805682E,2018,79,461050
201835754W,2018,62,573971
201913715M,2019,62,049422
53380901X,2018,46,560461
201810686E,2018,64,068896
201815042E,2018,47,208787
201807769D,2018,95,569541
201716054M,2017,46,069533
201821251H,2018,70,278731
201931696N,2019,70,051531
201840889C,2018,64,048616
201921725K,2019,64,048616
201911389N,2019,62,189969
T17LL0308H,2017,79,470767
201930021G,2019,64,068914
201736586C,2017,85,461059
53399395D,2019,62,760734
201718386H,2017,70,787494
53381985K,2018,70,510103
201836490W,2018,62,308900
201920765E,2019,70,169874
53381009D,2018,49,544649
53372399W,2017,49,415978
201839064N,2018,43,349245
201903983K,2019,64,179098
